"RvNumber"	"Mtnumber"	"Gene_Symbol"	"Gene_Description"
"Rv0384c;Rv0384c;Rv0384c;Rv0384c;Rv0384c;Rv0384c;Rv0384c;Rv0384c;Rv0384c;Rv0384c;Rv0384c;Rv0384c;Rv0384c"	NA	NA	NA
"Rv0385"	"MT0398"	"Rv0385"	"similar to oxidoreductases"
"Rv0386"	"MT0399"	"Rv0386"	"transcriptional regulator (LuxR/UhpA family)"
"Rv0387c"	"MT0400"	"Rv0387c"	"conserved hypothetical protein"
"Rv0388c"	"MT0400"	"PPE"	"PPE-family protein"
"Rv0389"	"MT0401"	"purT"	"phosphoribosylglycinamide formyltransferase II"
"Rv0390;Rv0390"	NA	NA	NA
"Rv0391"	"MT0402"	"metZ"	"o-succinylhomoserine sulfhydrylase"
"Rv0392c"	"MT0403"	"Rv0392c"	"possible dehydrogenasedehydrogemase"
"Rv0393"	"MT0404"	"Rv0393"	"conserved hypothetical protein"
"Rv0394c"	"MT0404.1"	"Rv0394c"	"hypothetical protein"
"Rv0395"	"MT0405"	"Rv0395"	"hypothetical protein"
"Rv0396"	"MT0406"	"Rv0396"	"hypothetical protein"
"Rv0397"	NA	"Rv0397"	"conserved hypothetical protein"
"Rv0398c"	"MT0408"	"Rv0398c"	"hypothetical protein"
"Rv0399c"	"MT0409"	"lpqK"	"possible PBP"
"Rv0400c"	"MT0410"	"fadE7"	"acyl-CoA dehydrogenase"
"Rv0401"	"MT0411"	"Rv0401"	"probable membrane protein"
"Rv0402c"	"MT0412"	"mmpL1"	"conserved large membrane protein"
"Rv0403c"	"MT0415"	"mmpS1"	"conserved small membrane protein"
"Rv0404"	NA	"fadD30"	"acyl-CoA synthase"
"Rv0405"	"MT0418"	"pks6"	"polyketide synthase"
"Rv0406c"	NA	"Rv0406c"	"conserved hypothetical protein"
"Rv0407"	"MT0420"	"Rv0407"	"probable coenzyme F420-dependent enzyme"
"Rv0408"	"MT0421"	"pta"	"phosphate acetyltransferase"
"Rv0409"	"MT0422"	"ackA"	"acetate kinase"
"Rv0410c"	"MT0423"	"pknG"	"serine-threonine protein kinase"
"Rv0411c"	"MT0424"	"glnH"	"putative glutamine binding protein"
"Rv0412c"	"MT0425"	"Rv0412c"	"unknown probable membrane protein"
"Rv0413"	"MT0426"	"mutT3"	"MutT homologue"
"Rv0414c"	"MT0427"	"thiE"	"thiamine synthesis, thiazole moiety"
"Rv0415"	"MT0428"	"Rv0415"	"conserved hypothetical protein"
"Rv0416"	"MT0429"	"Rv0416"	"conserved hypothetical protein"
"Rv0417"	"MT0430"	"thiG"	"thiamine synthesis, thiazole moiety"
"Rv0418"	"MT0432"	"lpqL"	"probable aminopeptidase Y"
"Rv0419"	"MT0433"	"lpqM"	"possible zinc metallopeptidase"
"Rv0420c"	NA	"Rv0420c"	"hypothetical protein"
"Rv0421c"	"MT0435"	"Rv0421c"	"hypothetical protein"
"Rv0422c"	"MT0436"	"thiD"	"phosphomethylpyrimidine kinase"
"Rv0423c"	NA	"thiC"	"thiamine synthesis, pyrimidine moiety"
"Rv0424c"	NA	"Rv0424c"	"hypothetical protein"
"Rv0425c"	"MT0440"	"ctpH"	"C-terminal region putative cation-transporting"
"Rv0426c"	"MT0441"	"Rv0426c"	"hypothetical protein"
"Rv0427c"	"MT0442"	"xthA"	"exodeoxyribonuclease III"
"Rv0428c"	"MT0443"	"Rv0428c"	"hypothetical protein"
"Rv0429c"	"MT0444"	"def"	"polypeptide deformylase"
"Rv0430"	"MT0445"	"Rv0430"	"hypothetical protein"
"Rv0431"	"MT0446"	"Rv0431"	"tuberculin related peptide (AT103)"
"Rv0432"	"MT0447"	"sodC"	"superoxide dismutase precursor (Cu-Zn)"
"Rv0433"	"MT0448"	"Rv0433"	"conserved hypothetical protein"
"Rv0434"	NA	"Rv0434"	"conserved hypothetical protein"
"Rv0435c"	"MT0451"	"Rv0435c"	"ATPase of AAA-family"
"Rv0436c"	"MT0452"	"pssA"	"CDP-diacylglycerol-serine o-phosphatidyltransferase"
"Rv0437c"	"MT0453"	"psd"	"putative phosphatidylserine decarboxylase"
"Rv0438c"	"MT0454"	"moaA3"	"molybdenum cofactor biosynthesis, protein A"
"Rv0439c"	"MT0455"	"Rv0439c"	"Probable oxidoreductase"
"Rv0440"	"MT0456"	"groEL2"	"60 kD chaperonin 2"
"Rv0441c"	"MT0457"	"Rv0441c"	"65 kDa antigen"
"Rv0442c"	"MT0458"	"PPE"	"PPE-family protein"
"Rv0443"	"MT0459"	"Rv0443"	"hypothetical protein"
"Rv0444c"	"MT0460"	"Rv0444c"	"conserved hypothetical protein"
"Rv0445c"	"MT0461"	"sigK"	"ECF-type sigma factor"
"Rv0446c"	"MT0462"	"Rv0446c"	"conserved hypothetical protein"
"Rv0447c"	"MT0463"	"ufaA1"	"unknown fatty acid methyltransferase"
"Rv0448c"	"MT0464"	"Rv0448c"	"conserved hypothetical protein"
"Rv0449c"	"MT0465"	"Rv0449c"	"putative dehydrogenase"
"Rv0450c"	"MT0466"	"mmpL4"	"conserved large membrane protein"
"Rv0451c"	NA	"mmpS4"	"conserved small membrane protein"
"Rv0452"	"MT0468"	"Rv0452"	"putative transcriptional regulator"
"Rv0453"	"MT0469"	"PPE"	"PPE-family protein"
"Rv0454"	NA	"Rv0454"	"conserved hypothetical protein"
"Rv0455c"	"MT0471"	"Rv0455c"	"hypothetical protein"
"Rv0456c"	"MT0472"	"echA2"	"enoyl-CoA hydratase/isomerase superfamily"
"Rv0457c"	"MT0473"	"Rv0457c"	"probable peptidase"
"Rv0458"	NA	"Rv0458"	"aldehyde dehydrogenase"
"Rv0459"	"MT0475"	"Rv0459"	"conserved hypothetical protein"
"Rv0460"	NA	"Rv0460"	"conserved hypothetical protein"
"Rv0461"	"MT0477"	"Rv0461"	"unknown possible membrane protein"
"Rv0462"	"MT0478"	"Rv0462"	"probable dihydrolipoamide dehydrogenase"
"Rv0463"	NA	"Rv0463"	"conserved hypothetical protein"
"Rv0464c"	"MT0480"	"Rv0464c"	"conserved hypothetical protein"
"Rv0465c"	"MT0481"	"Rv0465c"	"transcriptional regulator (PbsX/Xre family)"
"Rv0466"	"MT0482"	"Rv0466"	"conserved hypothetical protein"
"Rv0467"	"MT0483"	"aceA"	"isocitrate lyase"
"Rv0468"	NA	"fadB2"	"3-hydroxyacyl-CoA dehydrogenase"
"Rv0469"	"MT0485"	"umaA1"	"unknown mycolic acid methyltransferase"
"Rv0470c"	"MT0486"	"umaA2"	"unknown mycolic acid methyltransferase"
"Rv0471c"	"MT0488"	"Rv0471c"	"hypothetical protein"
"Rv0472c"	"MT0489"	"Rv0472c"	"transcriptional regulator (TetR/AcrR family)"
"Rv0473"	"MT0490"	"Rv0473"	"possible membrane protein"
"Rv0474"	"MT0491"	"Rv0474"	"transcriptional regulator (PbsX/Xre family)"
"Rv0475"	"MT0493"	"Rv0475"	"possible exported protein"
"Rv0476"	"MT0495"	"Rv0476"	"unknownunkown hydrophobic protein"
"Rv0477"	NA	"Rv0477"	"possible exported protein"
"Rv0478"	"MT0496"	"deoC"	"deoxyribose-phosphate aldolase"
"Rv0479c"	"MT0497"	"Rv0479c"	"unknown hydrophobic protein"
"Rv0480c"	NA	"Rv0480c"	"conserved hypothetical protein"
"Rv0481c"	NA	"Rv0481c"	"hypothetical protein"
"Rv0482"	"MT0500"	"murB"	"UDP-N-acetylenolpyruvoylglucosamine reductase"
"Rv0483"	"MT0501"	"Rv0483"	"conserved hypothetical protein"
"Rv0484c"	"MT0502"	"Rv0484c"	"oxidoreductase"
"Rv0485"	"MT0503"	"Rv0485"	"transcriptional regulator (ROK family)"
"Rv0486"	"MT0504"	"Rv0486"	"conserved hypothetical protein"
"Rv0487"	"MT0505"	"Rv0487"	"conserved hypothetical protein"
"Rv0488"	"MT0507"	"Rv0488"	"probable membrane protein"
"Rv0489"	"MT0508"	"gpm"	"phosphoglycerate mutase I"
"Rv0490"	NA	"senX3"	"sensor histidine kinase"
"Rv0491"	"MT0510"	"regX3"	"two-component response regulator"
"Rv0492c;Rv0492c"	NA	NA	NA
"Rv0493c"	"MT0513"	"Rv0493c"	"conserved hypothetical protein"
"Rv0494"	"MT0514"	"Rv0494"	"transcriptional regulator (GntR family)"
"Rv0495c"	"MT0515"	"Rv0495c"	"conserved hypothetical protein"
"Rv0496"	"MT0516"	"Rv0496"	"conserved hypothetical protein"
"Rv0497"	"MT0517"	"Rv0497"	"probable membrane protein"
"Rv0498"	NA	"Rv0498"	"conserved hypothetical protein"
"Rv0499"	"MT0519"	"Rv0499"	"hypothetical protein"
"Rv0500"	"MT0520"	"proC"	"pyrroline-5-carboxylate reductase"
"Rv0501"	"MT0522"	"galE1"	"UDP-glucose 4-epimerase"
"Rv0502"	"MT0523"	"Rv0502"	"conserved hypothetical protein"
"Rv0503c"	NA	"cmaA2"	"cyclopropane mycolic acid synthase 2"
"Rv0504c"	NA	"Rv0504c"	"conserved hypothetical protein"
"Rv0505c"	"MT0526"	"serB"	"probable phosphoserine phosphatase"
"Rv0506"	"MT0527"	"mmpS2"	"conserved small membrane protein"
"Rv0507"	"MT0528"	"mmpL2"	"conserved large membrane protein"
"Rv0508"	NA	"Rv0508"	"hypothetical protein"
"Rv0509"	"MT0530"	"hemA"	"glutamyl-tRNA reductase"
"Rv0510"	"MT0531"	"hemC"	"porphobilinogen deaminase"
"Rv0511"	"MT0532"	"cysG"	"uroporphyrin-III c-methyltransferase"
"Rv0512"	"MT0533"	"hemB"	"[delta]-aminolevulinic acid dehydratase"
"Rv0513"	"MT0534"	"Rv0513"	"probable membrane protein"
"Rv0514"	"MT0535"	"Rv0514"	"possible membrane protein"
"Rv0515"	"MT0350"	"Rv0515"	"conserved hypothetical protein"
"Rv0516c"	"MT0537"	"Rv0516c"	"conserved hypothetical protein"
"Rv0517"	"MT0538"	"Rv0517"	"possible acyltransferase"
"Rv0518"	"MT0539"	"Rv0518"	"hypothetical protein"
"Rv0519c"	"MT0541"	"Rv0519c"	"conserved hypothetical protein"
"Rv0520"	"MT0542"	"Rv0520"	"similar to methyltransferases"
"Rv0521c"	NA	"Rv0521c"	"hypothetical protein"
"Rv0522"	"MT0544"	"gabP"	"probable 4-amino butyrate transporter"
"Rv0523c"	"MT0545"	"Rv0523c"	"conserved hypothetical protein"
"Rv0524"	"MT0546"	"hemL"	"glutamate-1-semialdehyde aminotransferase"
"Rv0525"	NA	"Rv0525"	"conserved hypothetical protein"
"Rv0526"	"MT0548"	"Rv0526"	"conserved hypothetical protein"
"Rv0527"	NA	"ccsA"	"cytochrome c-type biogenesis protein"
"Rv0528"	"MT0550"	"Rv0528"	"probable membrane protein"
"Rv0529"	"MT0551"	"ccsB"	"cytochrome c-type biogenesis protein"
"Rv0530"	"MT0552"	"Rv0530"	"conserved hypothetical protein"
"Rv0531"	"MT0554"	"Rv0531"	"unknown, membrane protein."
"Rv0532"	"MT0556"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv0533c"	"MT0557"	"fabH"	"[beta]-ketoacyl-ACP synthase III"
"Rv0534c"	"MT0558"	"menA"	"4-dihydroxy-2-naphthoate octaprenyltransferase"
"Rv0535"	"MT0559"	"pnp"	"phosphorylase from Pnp/MtaP family 2"
"Rv0536"	"MT0560"	"galE2"	"UDP-glucose 4-epimerase"
"Rv0537c"	"MT0562"	"Rv0537c"	"unknown, possible membrane protein,"
"Rv0538"	"MT0563"	"Rv0538"	"possible transmembrane protein"
"Rv0539"	NA	"Rv0539"	"probable glycosyltransferase"
"Rv0540"	"MT0565"	"Rv0540"	"conserved hypothetical protein"
"Rv0541c"	"MT0566"	"Rv0541c"	"unknown membrane protein"
"Rv0542c"	"MT0567"	"menE"	"o-succinylbenzoic acid-CoA ligase"
"Rv0543c"	NA	"Rv0543c"	"conserved hypothetical protein"
"Rv0544c"	NA	"Rv0544c"	"membrane protein"
"Rv0545c"	"MT0570"	"pitA"	"low-affinity inorganic phosphate transporter"
"Rv0546c"	"MT0571"	"Rv0546c"	"conserved hypothetical protein"
"Rv0547c"	"MT0572"	"Rv0547c"	"putative oxidoreductase"
"Rv0548c"	NA	"menB"	"naphthoate synthase"
"Rv0549c"	NA	"Rv0549c"	"conserved hypothetical protein"
"Rv0550c"	NA	"Rv0550c"	"hypothetical protein"
"Rv0551c"	"MT0577"	"fadD8"	"acyl-CoA synthase"
"Rv0552"	"MT0578"	"Rv0552"	"putative transcriptional regulator"
"Rv0553"	NA	"menC"	"o-succinylbenzoate-CoA synthase"
"Rv0554"	NA	"bpoC"	"probable non-heme bromoperoxidase"
"Rv0555"	"MT0581"	"menD"	"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carbox ylate"
"Rv0556"	"MT0582"	"Rv0556"	"possible membrane protein"
"Rv0557"	"MT0583"	"Rv0557"	"conserved hypothetical protein"
"Rv0558;Rv0558"	NA	NA	NA
"Rv0559c"	"MT0585"	"Rv0559c"	"possible exported"
"Rv0560c"	"MT0586"	"Rv0560c"	"methyl transferase"
"Rv0561c"	"MT0587"	"Rv0561c"	"similar to squalene monooxygenase"
"Rv0562"	"MT0588"	"grcC1"	"heptaprenyl diphosphate synthase II"
"Rv0563"	"MT0589"	"htpX"	"probable (transmembrane) heat shock protein"
"Rv0564c"	"MT0590"	"gpdA1"	"glycerol-3-phosphate dehydrogenase"
"Rv0565c"	"MT0591"	"Rv0565c"	"Probable monooxygenasemonoxygenase"
"Rv0566c"	"MT0592"	"Rv0566c"	"conserved hypothetical protein"
"Rv0567"	"MT0593"	"Rv0567"	"Probable methyltransferase"
"Rv0568"	"MT0594"	"Rv0568"	"similar too MTCY63.32c cytochrome P-450"
"Rv0569"	"MT0595"	"Rv0569"	"conserved hypothetical protein"
"Rv0570"	"MT0596"	"nrdZ"	"ribonucleotide reductase, class II"
"Rv0571c"	"MT0597"	"Rv0571c"	"conserved hypothetical protein"
"Rv0572c"	"MT0599"	"Rv0572c"	"hypothetical protein"
"Rv0573c"	"MT0601"	"Rv0573c"	"conserved hypothetical protein"
"Rv0574c"	"MT0602"	"Rv0574c"	"conserved hypothetical protein"
"Rv0575c"	"MT0604"	"Rv0575c"	"possible oxidoreductase"
"Rv0576"	"MT0605"	"Rv0576"	"putative transcriptional regulator"
"Rv0577"	"MT0606"	"Rv0577"	"conserved hypothetical protein"
"Rv0578c"	"MT0607"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv0579"	"MT0608.1"	"Rv0579"	"conserved hypothetical protein"
"Rv0580c"	"MT0609"	"Rv0580c"	"hypothetical protein"
"Rv0581"	NA	"Rv0581"	"conserved hypothetical protein"
"Rv0582"	NA	"Rv0582"	"hypothetical protein"
"Rv0583c"	"MT0611"	"lpqN"	"equivalent to MKU20446_1 MK35"
"Rv0584"	"MT0612"	"Rv0584"	"hypothetical protein"
"Rv0585c"	"MT0613"	"Rv0585c"	"possible membrane protein"
"Rv0586"	"MT0615"	"Rv0586"	"transcriptional regulator (GntR family)"
"Rv0587"	"MT0616"	"Rv0587"	"part of mce2 operon"
"Rv0588"	"MT0617"	"Rv0588"	"part of mce2 operon"
"Rv0589"	"MT0618"	"mce2"	"cell invasion protein"
"Rv0590"	"MT0619"	"Rv0590"	"part of mce2 operon"
"Rv0591"	"MT0621"	"Rv0591"	"part of mce2 operon"
"Rv0592"	"MT0622"	"Rv0592"	"part of mce2 operon"
"Rv0593"	"MT0623"	"lprL"	"part of mce2 operon"
"Rv0594"	"MT0624"	"Rv0594"	"part of mce2 operon"
"Rv0595c"	"MT0625"	"Rv0595c"	"conserved hypothetical protein"
"Rv0596c"	NA	"Rv0596c"	"conserved hypothetical protein"
"Rv0597c"	"MT0627"	"Rv0597c"	"conserved hypothetical protein"
"Rv0598c"	"MT0628"	"Rv0598c"	"conserved hypothetical protein"
"Rv0599c"	"MT0629"	"Rv0599c"	"conserved hypothetical protein"
"Rv0600c"	NA	"Rv0600c"	"sensor histidine kinase"
"Rv0601c"	"MT0630"	"Rv0601c"	"sensor histidine kinase"
"Rv0602c"	"MT0631"	"tcrA"	"two-component response regulator"
"Rv0603"	NA	"Rv0603"	"hypothetical protein"
"Rv0604"	"MT0632"	"lpqO"	"lipoprotein"
"Rv0605"	"MT0633"	"Rv0605"	"resolvase"
"Rv0606"	"MT0635"	"Rv0606"	"transposase"
"Rv0607"	"MT0636"	"Rv0607"	"hypothetical protein"
"Rv0608"	"MT0637"	"Rv0608"	"conserved hypothetical protein"
"Rv0609"	"MT0638"	"Rv0609"	"conserved hypothetical protein"
"Rv0610c"	"MT0640"	"Rv0610c"	"possible monooxygenase"
"Rv0611c"	"MT0641"	"Rv0611c"	"hypothetical protein"
"Rv0612"	"MT0642"	"Rv0612"	"hypothetical protein"
"Rv0613c"	"MT0643"	"Rv0613c"	"hypothetical protein"
"Rv0614"	"MT0644"	"Rv0614"	"conserved hypothetical protein"
"Rv0615"	"MT0645"	"Rv0615"	"possible membrane protein"
"Rv0616c"	"MT0645.1"	"Rv0616c"	"hypothetical protein"
"Rv0617"	"MT0646"	"Rv0617"	"conserved hypothetical protein"
"Rv0618"	"MT0647"	"galT "	"galactose-1-phosphate uridylyltransferase N-term"
"Rv0619"	"MT0647"	"galT"	"galactose-1-phosphate uridylyltransferase C-term"
"Rv0620"	"MT0648"	"galK"	"galactokinase"
"Rv0621"	"MT0649"	"Rv0621"	"membrane spanning ATP/GTP-binding protein"
"Rv0622"	"MT0650"	"Rv0622"	"potential membrane spanning protein"
"Rv0623"	NA	"Rv0623"	"conserved hypothetical protein"
"Rv0624"	NA	"Rv0624"	"conserved hypothetical protein"
"Rv0625c"	"MT0653"	"Rv0625c"	"probable integral membrane protein"
"Rv0626"	"MT0654"	"Rv0626"	"conserved hypothetical protein"
"Rv0627"	NA	"Rv0627"	"conserved hypothetical protein"
"Rv0628c"	"MT0656"	"Rv0628c"	"conserved hypothetical protein"
"Rv0629c"	"MT0657"	"recD"	"exodeoxyribonuclease V"
"Rv0630c"	"MT0658"	"recB"	"exodeoxyribonuclease V"
"Rv0631c"	"MT0659"	"recC"	"exodeoxyribonuclease V"
"Rv0632c"	"MT0660"	"echA3"	"enoyl-CoA hydratase/isomerase superfamily"
"Rv0633c"	"MT0661"	"Rv0633c"	"hypothetical protein"
"Rv0634c"	"MT0662"	"Rv0634c"	"putative glyoxylase II"
"Rv0635"	"MT0664"	"Rv0635"	"conserved hypothetical protein"
"Rv0636"	"MT0665"	"Rv0636"	"hypothetical protein"
"Rv0637"	"MT0666"	"Rv0637"	"conserved hypothetical protein"
"Rv0638"	"MT0667"	"secE"	"SecE preprotein translocase"
"Rv0639"	"MT0668"	"nusG"	"transcription antitermination protein"
"Rv0640"	"MT0669"	"rplK"	"50S ribosomal protein L11"
"Rv0641"	"MT0669.1"	"rplA"	"50S ribosomal protein L1"
"Rv0642c"	"MT0670"	"mmaA4"	"methoxymycolic acid synthase 4"
"Rv0643c"	"MT0671"	"mmaA3"	"methoxymycolic acid synthase 3"
"Rv0644c"	"MT0672"	"mmaA2"	"methoxymycolic acid synthase 2"
"Rv0645c"	"MT0673"	"mmaA1"	"methoxymycolic acid synthase 1"
"Rv0646c"	"MT0674"	"lipG"	"probable hydrolase"
"Rv0647c"	"MT0675"	"Rv0647c"	"conserved hypothetical protein"
"Rv0648"	"MT0676"	"Rv0648"	"conserved hypothetical protein"
"Rv0649"	NA	"fabD2"	"malonyl CoA-[ACP] transacylase"
"Rv0650"	NA	"Rv0650"	"transcriptional regulator (ROK family)"
"Rv0651"	"MT0680"	"rplJ"	"50S ribosomal protein L10"
"Rv0652"	"MT0681"	"rplL"	"50S ribosomal protein L7/L12"
"Rv0653c"	"MT0682"	"Rv0653c"	"putative transcriptional regulator"
"Rv0654"	"MT0683"	"Rv0654"	"putative dioxygenase"
"Rv0655"	"MT0684"	"Rv0655"	"ABC transporter"
"Rv0656c"	"MT0685"	"Rv0656c"	"similar to beta dioxygenases"
"Rv0657c"	"MT0686"	"Rv0657c"	"conserved hypothetical protein"
"Rv0658c"	"MT0687"	"Rv0658c"	"probable membrane protein"
"Rv0659c"	"MT0688"	"Rv0659c"	"conserved hypothetical protein"
"Rv0660c"	"MT0689"	"Rv0660c"	"conserved hypothetical protein"
"Rv0661c"	"MT0690"	"Rv0661c"	"conserved hypothetical protein"
"Rv0662c"	"MT0691"	"Rv0662c"	"hypothetical protein"
"Rv0663"	"MT0692"	"atsD"	"proable arylsulfatase"
"Rv0664"	"MT0692.1"	"Rv0664"	"hypothetical protein"
"Rv0665"	"MT0693"	"Rv0665"	"conserved hypothetical protein"
"Rv0666"	NA	"Rv0666"	"hypothetical protein"
"Rv0667"	"MT0695"	"rpoB"	"[beta] subunit of RNA polymerase"
"Rv0668"	"MT0696"	"rpoC"	"[beta]  subunit of RNA polymerase"
"Rv0669c"	"MT0698"	"Rv0669c"	"conserved hypothetical protein"
"Rv0670"	"MT0699"	"end"	"endonuclease IV (apurinase)"
"Rv0671"	"MT0700"	"lpqP"	"probable esterase"
"Rv0672"	"MT0701"	"fadE8"	"acyl-CoA dehydrogenase (aka aidB)"
"Rv0673"	"MT0702"	"echA4"	"enoyl-CoA hydratase/isomerase superfamily"
"Rv0674"	"MT0703"	"Rv0674"	"hypothetical protein"
"Rv0675"	"MT0704"	"echA5"	"enoyl-CoA hydratase/isomerase superfamily"
"Rv0676c"	"MT0705"	"mmpL5"	"conserved large membrane protein"
"Rv0677c"	"MT0706"	"mmpS5"	"conserved small membrane protein"
"Rv0678"	"MT0706.1"	"Rv0678"	"hypothetical protein"
"Rv0679c"	NA	"Rv0679c"	"possible membrane protein"
"Rv0680c"	NA	"Rv0680c"	"possible membrane protein"
"Rv0681"	"MT0709"	"Rv0681"	"transcriptional regulator (TetR/AcrR family)"
"Rv0682"	"MT0710"	"rpsL"	"30S ribosomal protein S12"
"Rv0683"	"MT0711"	"rpsG"	"30S ribosomal protein S7"
"Rv0684"	"MT0712"	"fusA"	"elongation factor G"
"Rv0685"	"MT0713"	"tuf"	"elongation factor EF-Tu"
"Rv0686"	"MT0714"	"Rv0686"	"potential membrane protein"
"Rv0687"	"MT0715"	"Rv0687"	"putative dehydrogenase, SDR family"
"Rv0688"	"MT0716"	"Rv0688"	"putative oxidoreductase"
"Rv0689c"	NA	"Rv0689c"	"hypothetical protein"
"Rv0690c"	"MT0718"	"Rv0690c"	"hypothetical protein"
"Rv0691c"	"MT0719"	"Rv0691c"	"transcriptional regulator (TetR/AcrR family)"
"Rv0692"	"MT0719.2"	"Rv0692"	"hypothetical protein"
"Rv0693"	"MT0720"	"pqqE"	"coenzyme pqq synthesis protein E"
"Rv0694"	"MT0721"	"lldD1"	"L-lactate dehydrogenase (cytochrome)"
"Rv0695"	"MT0722"	"Rv0695"	"conserved hypothetical protein"
"Rv0696"	"MT0723"	"Rv0696"	"glycosyltransferase"
"Rv0697"	"MT0724"	"Rv0697"	"gmc-type oxidoreductase"
"Rv0698"	NA	"Rv0698"	"conserved hypothetical protein"
"Rv0699"	NA	"Rv0699"	"hypothetical protein"
"Rv0700"	"MT0727"	"rpsJ"	"30S ribosomal protein S10"
"Rv0701"	"MT0728"	"rplC"	"50S ribosomal protein L3"
"Rv0702"	"MT0729"	"rplD"	"50S ribosomal protein L4"
"Rv0703"	"MT0730"	"rplW"	"50S ribosomal protein L23"
"Rv0704"	"MT0731"	"rplB"	"50S ribosomal protein L2"
"Rv0705"	NA	"rpsS"	"30S ribosomal protein S19"
"Rv0706"	NA	"rplV"	"50S ribosomal protein L22"
"Rv0707"	"MT0734"	"rpsC"	"30S ribosomal protein S3"
"Rv0708"	"MT0735"	"rplP"	"50S ribosomal protein L16"
"Rv0709"	"MT0736"	"rpmC"	"50S ribosomal protein L29"
"Rv0710"	"MT0737"	"rpsQ"	"30S ribosomal protein S17"
"Rv0711"	NA	"atsA"	"arylsulfatase"
"Rv0712"	"MT0739"	"Rv0712"	"conserved hypothetical protein"
"Rv0713"	"MT0740"	"Rv0713"	"potential membrane protein"
"Rv0714"	NA	"rplN"	"50S ribosomal protein L14"
"Rv0715"	"MT0741.1"	"rplX"	"50S ribosomal protein L24"
"Rv0716"	"MT0742"	"rplE"	"50S ribosomal protein L5"
"Rv0717"	"MT0742.1"	"rpsN"	"30S ribosomal protein S14"
"Rv0718"	"MT0743"	"rpsH"	"30S ribosomal protein S8"
"Rv0719"	"MT0744"	"rplF"	"50S ribosomal protein L6"
"Rv0720"	"MT0745"	"rplR"	"50S ribosomal protein L18"
"Rv0721"	"MT0746"	"rpsE"	"30S ribosomal protein S5"
"Rv0722"	"MT0747"	"rpmD"	"50S ribosomal protein L30"
"Rv0723"	"MT0748"	"rplO"	"50S ribosomal protein L15"
"Rv0724"	"MT0749"	"sppA"	"protease IV, signal peptide peptidase"
"Rv0725c"	"MT0750"	"Rv0725c"	"conserved hypothetical protein"
"Rv0726c"	"MT0751"	"Rv0726c"	"conserved hypothetical protein"
"Rv0727c"	"MT0752"	"fucA"	"L-fuculose phosphate aldolase"
"Rv0728c"	"MT0753"	"Rv0728c"	"similar to D-3-phosphoglycerate dehydrogenases"
"Rv0729"	"MT0754"	"xylB"	"xylulose kinase"
"Rv0730"	"MT0755"	"Rv0730"	"conserved hypothetical protein"
"Rv0731c"	"MT0756"	"Rv0731c"	"conserved hypothetical protein"
"Rv0732"	"MT0756.1"	"secY"	"SecY subunit of preprotein translocase"
"Rv0733"	"MT0757"	"adk"	"probable adenylate kinase"
"Rv0734"	"MT0758"	"map "	"probable methionine aminopeptidase"
"Rv0735"	"MT0759"	"sigL"	"sigma-70 factors ECF subfamily"
"Rv0736"	"MT0760"	"Rv0736"	"hypothetical protein"
"Rv0737"	"MT0762"	"Rv0737"	"putative transcriptional regulator"
"Rv0738"	"MT0763"	"Rv0738"	"possible membrane protein"
"Rv0739"	"MT0764"	"Rv0739"	"conserved hypothetical protein"
"Rv0740;Rv0740"	NA	NA	NA
"Rv0741"	"MT0767"	"Rv0741"	"truncated copy of IS1557"
"Rv0742"	"MT0768"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv0743c"	"MT0769"	"Rv0743c"	"hypothetical protein"
"Rv0744c"	"MT0770"	"Rv0744c"	"putative transcriptional regulator"
"Rv0745"	NA	"Rv0745"	"conserved hypothetical protein"
"Rv0746"	NA	"PE_PGRS"	"PE_PGRS-family protein"
"Rv0747;Rv0747"	NA	NA	NA
"Rv0748"	NA	"Rv0748"	"conserved hypothetical protein"
"Rv0749"	"MT0773"	"Rv0749"	"conserved hypothetical protein"
"Rv0750"	"MT0774"	"Rv0750"	"conserved hypothetical protein"
"Rv0751c"	"MT0775"	"mmsB"	"methylmalmonate semialdehyde oxidoreductase"
"Rv0752c"	"MT0776"	"fadE9"	"acyl-CoA dehydrogenase"
"Rv0753c"	"MT0777"	"mmsA"	"methylmalmonate semialdehyde dehydrogenase"
"Rv0754"	"MT0778"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv0755c"	"MT0779"	"PPE"	"PPE-family protein"
"Rv0756c"	NA	"Rv0756c"	"hypothetical protein"
"Rv0757"	"MT0782"	"phoP"	"two-component response regulator"
"Rv0758"	"MT0783"	"phoR"	"sensor histidine kinase"
"Rv0759c"	"MT0784"	"Rv0759c"	"conserved hypothetical protein"
"Rv0760c"	"MT0785"	"Rv0760c"	"conserved hypothetical protein"
"Rv0761c"	"MT0786"	"adhB"	"zinc-containing alcohol dehydrogenase"
"Rv0762c"	"MT0787"	"Rv0762c"	"hypothetical protein"
"Rv0763c"	NA	"Rv0763c"	"ferredoxin for cytochrome P-450 system"
"Rv0764c"	"MT0788"	"Rv0764c"	"possible lanosterol 14-demethylase cytochrome P450"
"Rv0765c"	"MT0789"	"Rv0765c"	"short-chain alcohol dehydrogenase family"
"Rv0766c"	"MT0790"	"Rv0766c"	"cytochrome p-450"
